類別：所有類別

天,0056: (全球)
2023-04-01,16
2023-04-02,13
2023-04-03,9
2023-04-04,11
2023-04-05,15
2023-04-06,50
2023-04-07,43
2023-04-08,12
2023-04-09,18
2023-04-10,46
2023-04-11,41
2023-04-12,46
2023-04-13,42
2023-04-14,47
2023-04-15,16
2023-04-16,13
2023-04-17,40
2023-04-18,39
2023-04-19,36
2023-04-20,34
2023-04-21,45
2023-04-22,10
2023-04-23,11
2023-04-24,42
2023-04-25,45
2023-04-26,40
2023-04-27,40
2023-04-28,37
2023-04-29,13
2023-04-30,13
2023-05-01,21
2023-05-02,38
2023-05-03,45
2023-05-04,39
2023-05-05,33
2023-05-06,15
2023-05-07,14
2023-05-08,43
2023-05-09,40
2023-05-10,35
2023-05-11,31
2023-05-12,30
2023-05-13,14
2023-05-14,13
2023-05-15,34
2023-05-16,37
2023-05-17,39
2023-05-18,45
2023-05-19,43
2023-05-20,10
2023-05-21,11
2023-05-22,41
2023-05-23,35
2023-05-24,44
2023-05-25,41
2023-05-26,100
2023-05-27,56
2023-05-28,36
2023-05-29,87
2023-05-30,63
2023-05-31,55
2023-06-01,57
2023-06-02,70
2023-06-03,27
2023-06-04,23
2023-06-05,68
2023-06-06,55
2023-06-07,59
2023-06-08,53
2023-06-09,58
2023-06-10,21
2023-06-11,21
2023-06-12,64
2023-06-13,68
2023-06-14,64
2023-06-15,67
2023-06-16,77
2023-06-17,38
2023-06-18,40
2023-06-19,72
2023-06-20,62
2023-06-21,54
2023-06-22,20
2023-06-23,21
2023-06-24,22
2023-06-25,22
2023-06-26,63
2023-06-27,61
2023-06-28,59
2023-06-29,58
2023-06-30,61
