,漲跌幅,聲量：台積電,聲量：元大證券,聲量：鴻海,聲量：聯發科,成交股數,成交筆數,大戶與散戶比例,指數：TW_Close,指數：TW_Volume,指數：NASDAQ_Close,指數：NASDAQ_Volume,指數：DOW_Close,指數：DOW_Volume,指數：SP_Close,指數：SP_Volume,三大法人：外陸資買賣超股數(不含外資自營商),三大法人：投信買賣超股數,三大法人：自營商買賣超股數,淨值(元)
0,-0.0039000000000000003,58.0,3.857142857142857,9.142857142857142,10.714285714285714,39949942,19275,2072.629935149157,16557.310546875,2669600,13307.76953125,4554700000.0,33433.3515625,275630000.0,4288.39013671875,3938660000.0,"19,012,916","350,000","2,920,233",35.77
1,-0.0059,58.0,3.7142857142857144,9.285714285714286,10.428571428571429,69470970,33238,2090.106805463626,16454.33984375,2697100,13059.4697265625,4684310000.0,33002.37890625,293450000.0,4229.4501953125,3953830000.0,"-14,494,819",0,"-37,510,617",35.52
2,0.0085,58.0,3.5714285714285716,9.428571428571429,10.142857142857142,45639045,26353,1731.8348954578225,16273.3798828125,2624800,13236.009765625,4308070000.0,33129.55078125,287030000.0,4263.75,3777600000.0,"-8,795,320",0,"-26,502,680",35.28
3,0.0028000000000000004,58.0,3.428571428571429,9.571428571428571,9.857142857142858,23705439,14905,1590.4353572626635,16453.51953125,2503200,13219.830078125,4167470000.0,33119.5703125,277250000.0,4258.18994140625,3581470000.0,"889,850","1,500,000","-8,921,944",35.62
4,-0.0003,58.0,3.2857142857142856,9.714285714285714,9.571428571428571,29996808,14999,1999.9205280352023,16520.5703125,2296800,13431.33984375,4309420000.0,33407.578125,332990000.0,4308.5,3902030000.0,"143,903","2,000,000","-17,728,541",35.7
5,0.005600000000000001,74.28571428571428,3.4285714285714284,12.142857142857142,10.285714285714285,52560900,29057,1808.8894242351241,16672.029296875,3635100,13659.6796875,4160440000.0,33804.87109375,256560000.0,4376.9501953125,3601660000.0,"-843,724","2,281,000","-20,803,330",35.65
6,-0.0072,79.71428571428572,3.571428571428571,12.857142857142858,10.714285714285714,24896521,13647,1824.3219022495787,16825.91015625,2917100,13574.2197265625,4858620000.0,33631.140625,289160000.0,4349.60986328125,3713140000.0,"2,280,963","809,000","-6,473,197",35.98
7,-0.005600000000000001,85.14285714285714,3.7142857142857144,13.571428571428571,11.142857142857142,59696232,31501,1895.0583156090283,16782.5703125,2955800,13407.23046875,4251550000.0,33670.2890625,306340000.0,4327.77978515625,3566560000.0,"-2,284,298","1,124,000","-49,510,687",35.65
8,-0.006999999999999999,92.71428571428571,4.0,16.571428571428573,12.0,72791020,40044,1817.7759464588953,16652.240234375,2843500,13567.98046875,4308690000.0,33984.5390625,270060000.0,4373.6298828125,3409960000.0,"-1,745,714","972,000","-59,053,466",35.37
9,-0.0105,89.42857142857143,4.0,18.142857142857142,12.0,101406052,51848,1955.8334361981176,16642.55078125,2965400,13533.75,4417640000.0,33997.6484375,281010000.0,4373.2001953125,3794850000.0,"-11,894,078","2,208,000","-77,827,660",35.16
10,-0.0015,86.14285714285714,4.0,19.714285714285715,12.0,168641463,88752,1900.1426784748512,16440.91015625,3844900,13314.2998046875,4617140000.0,33665.078125,285410000.0,4314.60009765625,3686030000.0,"-16,575,393","2,000,000","-130,321,550",34.76
11,-0.0074,82.85714285714286,4.0,21.285714285714285,12.0,115494490,75579,1528.129374561717,16452.73046875,2608200,13186.1796875,5014790000.0,33414.171875,304320000.0,4278.0,3969730000.0,"3,081,450","300,000","-97,874,395",33.48
12,-0.0096,79.57142857142857,4.0,22.857142857142858,12.0,60470953,44144,1369.8566736136281,16440.720703125,3035200,12983.8095703125,4622840000.0,33127.28125,325530000.0,4224.16015625,4004030000.0,"-13,769,350","500,000","-26,199,324",33.29
13,0.0118,72.57142857142857,3.857142857142857,26.428571428571427,12.285714285714286,44220850,36034,1227.1979241827164,16251.3603515625,2273100,13018.330078125,4669060000.0,32936.41015625,342500000.0,4217.0400390625,3776100000.0,"-7,908,666","250,000","-18,281,935",32.93
14,0.0045000000000000005,72.14285714285714,3.7142857142857144,26.857142857142858,12.571428571428571,25905750,19256,1345.3339218944745,16309.759765625,2642000,13139.8701171875,4604720000.0,33141.37890625,359230000.0,4247.68017578125,3821820000.0,"-1,696,985",0,"-4,190,028",33.4
15,-0.0155,71.71428571428571,3.5714285714285716,27.285714285714285,12.857142857142858,21375462,15184,1407.7622497365649,16358.8896484375,2667800,12821.2197265625,4599850000.0,33035.9296875,355690000.0,4186.77001953125,3869370000.0,"-1,552,500",0,"-12,305,939",33.48
16,0.0009,71.28571428571429,3.428571428571429,27.714285714285715,13.142857142857142,60959949,43112,1413.990281128224,16073.740234375,2572100,12595.6103515625,4894900000.0,32784.30078125,379880000.0,4137.22998046875,4277640000.0,"-14,939,160","400,000","-33,064,095",32.89
17,0.003,70.85714285714286,3.2857142857142856,28.142857142857142,13.428571428571429,18029839,13179,1368.0733743076105,16134.6103515625,2142800,12643.009765625,4172100000.0,32417.58984375,376970000.0,4117.3701171875,4019500000.0,"1,199,215","150,000","-8,627,327",33.01
18,-0.0163,70.57142857142857,3.142857142857143,27.428571428571427,14.428571428571429,13844304,10719,1291.566750629723,16149.6796875,2250800,12789.48046875,4149320000.0,32928.9609375,298640000.0,4166.81982421875,3911140000.0,"-31,646","150,000","-5,873,669",33.14
